Company,Model,Year,Rating
buick,enclave,2019,3.1944444444444446
buick,enclave,2020,4.583333333333333
buick,encore,2013,3.8125
buick,encore,2014,3.6
buick,encore,2015,3.6904761904761907
buick,encore,2016,3.7115384615384617
buick,encore,2017,4.636363636363637
buick,encore,2018,4.54054054054054
buick,encore,2019,4.558139534883721
buick,encore,2020,3.375
buick,encore-gx,2020,3.3684210526315788
buick,envision,2016,4.15
buick,envision,2017,3.72972972972973
buick,envision,2018,4.875
buick,envision,2019,4.368421052631579
buick,envision,2020,4.9
buick,lacrosse,2005,4.027397260273973
buick,lacrosse,2006,4.038961038961039
buick,lacrosse,2007,3.8085106382978724
buick,lacrosse,2008,3.58
buick,lacrosse,2009,4.0
buick,lacrosse,2010,3.968
buick,lacrosse,2011,3.610169491525424
buick,lacrosse,2012,3.9411764705882355
buick,lacrosse,2013,4.466666666666667
buick,lacrosse,2014,4.230769230769231
buick,lacrosse,2015,4.28
buick,lacrosse,2016,4.230769230769231
buick,lacrosse,2017,4.111111111111111
buick,lacrosse,2018,4.888888888888889
buick,lacrosse,2019,4.8
buick,lesabre,2000,3.9482758620689653
buick,lesabre,2001,3.8444444444444446
buick,lesabre,2002,4.0625
buick,lesabre,2003,4.0701754385964914
buick,lesabre,2004,4.184782608695652
buick,lesabre,2005,4.12962962962963
buick,lucerne,2006,4.215
buick,lucerne,2007,3.99009900990099
buick,lucerne,2008,3.8125
